pvm;station;temp;x;y;lake;sea;elev
20100901;1;11.3;106170;6686494;0;38;5
20100901;2;13.2;184057;6640816;0;99;9
20100901;3;12.8;106999;6667815;0;93;8
20100901;11;11.4;111393;6691950;0;31;11
20100901;14;12.3;65798;6710891;0;99;3
20100901;16;12.9;124094;6615173;0;100;4
20100901;19;12.9;205553;6675665;0;59;4
20100901;23;12.4;154301;6696560;0;82;23
20100901;101;13;272580;6633161;0;88;5
20100901;103;11.3;254896;6702765;0;13;6
20100901;114;13;231000;6646647;0;89;8
20100901;115;13;270795;6637178;0;89;11
20100901;116;12.6;229782;6703557;0;38;4
20100901;118;11.6;234917;6711746;0;19;8
20100901;120;11.2;264700;6678073;0;14;13
20100901;202;12.5;289837;6639990;0;67;3
20100901;205;11.2;285717;6699357;5;4;3
20100901;211;10.6;318161;6692041;33;0;69
20100901;215;12.6;307883;6636409;0;92;15
20100901;217;10.6;315776;6707718;2;0;117
20100901;301;11.5;387191;6689621;0;0;51
20100901;302;12.6;333143;6647503;0;86;10
20100901;304;12.2;385972;6672700;0;51;4
20100901;307;11.2;336665;6682242;31;0;37
20100901;309;10.6;356754;6700879;0;0;42
20100901;330;12.7;387445;6664816;0;86;3
20100901;331;12.7;351821;6645485;0;94;2
20100901;337;12.6;384197;6647488;0;99;0
20100901;339;12.1;386996;6675771;0;38;26
20100901;340;11.6;374818;6676689;0;20;31
20100901;416;12.7;421799;6650589;0;100;0
20100901;417;12.4;423808;6674901;0;77;20
20100901;422;11.5;423293;6695832;0;6;22
20100901;501;12.4;497710;6693226;0;89;11
20100901;510;12.8;469277;6682153;0;97;5
20100901;601;12.9;510244;6683346;0;98;4
20100901;602;12;502678;6694316;0;89;17
20100901;1001;10.7;222739;6825738;0;1;13
20100901;1016;12.5;174421;6746680;0;97;4
20100901;1018;12;193530;6792275;0;79;4
20100901;1021;10.9;222297;6827265;4;1;9
20100901;1140;10.7;250443;6799855;12;0;38
20100901;1201;10.6;309526;6747156;2;0;104
20100901;1215;10.4;319667;6814326;1;0;119
20100901;1220;10.6;309526;6747159;2;0;104
20100901;1222;10.6;326666;6818988;20;0;85
20100901;1302;10.6;379692;6719801;0;0;86
20100901;1321;10.8;371163;6710372;30;0;111
20100901;1322;10.9;364343;6765313;27;0;87
20100901;1323;10.6;355932;6778531;6;0;87
20100901;1401;10.6;425866;6759341;0;0;78
20100901;1403;10.4;394122;6770383;9;0;125
20100901;1434;11.4;420636;6793216;68;0;80
20100901;1438;9.7;399710;6788346;8;0;133
20100901;1501;10.9;496799;6750595;0;0;99
20100901;1504;11.1;489652;6729012;10;0;33
20100901;1506;10.8;448916;6785441;16;0;92
20100901;1529;10.8;496814;6750595;0;0;99
20100901;1612;11.2;536923;6710327;0;31;5
20100901;1701;10.9;562164;6768257;4;0;106
20100901;1709;11;563158;6797332;40;0;86
20100901;1711;11;565254;6769799;2;0;103
20100901;1716;11.9;579153;6785742;98;0;77
20100901;2009;10.9;205157;6915839;0;56;1
20100901;2013;11.5;202126;6845886;1;85;3
20100901;2014;11.1;196960;6910504;0;91;0
20100901;2101;10;261271;6864540;12;0;124
20100901;2103;9.2;281440;6901690;0;0;160
20100901;2121;9.4;251296;6929521;0;0;93
20100901;2123;10;261285;6864527;12;0;122
20100901;2219;11.4;327335;6824740;72;0;96
20100901;2301;9.9;383497;6860193;1;0;145
20100901;2303;9.7;357220;6859971;8;0;153
20100901;2324;10.1;385043;6860481;15;0;144
20100901;2401;9.5;431531;6919710;2;0;139
20100901;2426;11.4;420953;6842163;61;0;81
20100901;2501;9.8;452442;6861086;0;0;146
20100901;2602;9.9;510937;6839386;1;0;101
20100901;2622;9.8;546523;6862510;40;0;110
20100901;2624;10;544806;6893854;0;0;87
20100901;2625;10.6;547047;6910413;39;0;83
20100901;2710;9.9;601338;6869722;23;0;95
