mesotopo,soil_moist,veg_height,veg_cover
5,37.5,23,96.25
5,46.8,27,40.25
4,48,37,38.5
3,60.3,33,58
2,65.5,18,21
2,48.8,11,14.25
2,57.7,9,25.75
1,46.8,10,17.5
2,37,18,27.25
2,34.4,26,17.75
2,29.1,18,57
3,25.2,13,36.75
3,23.9,14,38.5
4,11.2,10,8.75
6,14.5,7,39
7,13.6,7,NA
7,23.1,11,29.75
6,28.7,17,32.75
5,21.3,20,76.5
4,31,13,42.25
4,50.8,21,54.75
4,56.1,29,23.5
3,61.4,40,39.25
3,46.5,40,42
2,49,14,23
2,46.5,4,15.5
2,44.2,9,13.75
1,38.2,10,16.5
2,37.3,23,20.25
2,30.6,19,39
2,26.2,12,34.5
3,25.1,15,32.25
3,20.5,8,60.75
4,19.3,7,38.25
7,15.3,5,32.75
9,18.5,5,40
8,17.4,6,19.5
7,27,17,27.25
6,22.1,20,56.25
4,27.2,15,41.5
4,54.9,34,16.25
3,50.1,8,12.25
3,65.1,25,21
2,54.2,36,23.5
2,48.3,10,18.5
2,50,10,19.25
2,41.9,10,15.5
2,40.6,10,14.25
2,41.6,13,16.5
2,32.6,17,13.5
2,31.6,16,20
3,22.5,21,65.25
3,19.7,16,39.25
5,25.7,13,36
8,19.2,15,66.5
9,17.2,4,19.75
9,13.8,5,27
8,23.6,13,35.25
6,23.6,19,55.25
4,34.6,19,45.5
3,49.1,32,33.75
3,54.4,32,24.5
2,59.4,25,17.5
2,47.5,10,16
2,49.5,7,19
2,37,11,19.25
2,48.2,9,9.75
2,49.5,4,15.75
2,38.1,8,14.25
2,38.3,11,15.5
3,36.5,14,15.75
3,29.3,25,29
4,27.7,25,34
5,27,8,35.25
8,27.4,11,71.5
9,16.4,7,25.25
9,15.4,4,17.25
8,23.4,8,35.5
6,29.6,19,69.25
5,30.6,20,32.5
2,53.9,69,28.75
2,47.8,15,20.75
2,57.8,10,15.75
2,48.3,12,14
3,41.9,16,14.5
2,45.7,8,13.75
2,48,10,14.25
2,48.3,6,20
3,36.9,10,12.75
3,38.6,13,17.5
3,33.2,10,14.75
4,28.7,27,32.5
4,27.2,28,34.25
6,18,12,29.25
8,14.3,4,31.75
10,13.6,3,11.5
10,12.3,4,18
9,26.4,6,26.25
7,34.6,9,60.25
5,19,26,50.25
2,34.4,64,83.5
2,42.4,12,28.5
2,52.4,14,21.25
2,54.2,14,17.25
3,33.7,12,14.5
2,31.9,10,17.25
2,37.2,8,20.5
2,46,5,14.75
2,43.2,13,17.75
3,46,14,16.25
4,35.5,10,13.25
4,25.9,15,21
5,30,22,38.25
6,28.7,18,44.25
8,11.2,5,27.25
9,14.1,4,12.5
10,14.6,3,6.25
9,20,8,27
7,31.8,19,78.25
6,19.3,19,38.25
3,51.9,24,23.5
3,40.8,10,17.25
3,42.4,10,15
3,39.5,11,15.5
3,41.3,9,15
3,41.1,10,11.5
3,40.3,8,14.5
2,48.4,8,17.25
2,38.3,10,17.5
3,34.9,10,11.25
4,32.6,13,17.75
5,26.4,12,21.25
6,25.7,31,31
7,21.8,26,26.75
8,21.6,17,35
9,23.1,5,46.25
9,18,3,17.5
9,34.9,7,63
8,38,14,32.5
6,17,21,21
3,52.7,12,14.5
3,37.2,24,16.75
3,32.9,23,12
3,36.2,20,12.5
3,44.2,42,12.5
3,33.9,40,15
3,36.1,41,24.5
2,39.6,14,19
2,35.7,10,14
3,36.8,8,16.75
4,30.6,11,19.25
5,29.8,10,24
6,24.7,19,28.25
7,26,22,21.25
8,25.7,19,40.75
9,30.3,10,64.25
9,15.6,6,15
9,23,9,24.75
8,26,10,41
7,18.5,13,16.75
