xcoord;ycoord;totalspr;rarespr;calc;fdd;gdd;wab;altitude;relalt;betnan;dryoct;empher;gersyl;linbor;phycae;rangla;vacmyr;vacvit
3244500;7676500;130;1;46;-1521.0;599.5;347.5;490;136;1;0;1;1;1;1;0;1;1
3244500;7677500;131;1;67;-1518.9;598.6;349.8;493;76;1;0;1;1;1;1;0;1;1
3245500;7676500;145;1;67;-1520.0;609.8;343.6;476;75;1;0;1;1;1;1;0;1;1
3245500;7677500;149;1;57;-1532.7;581.8;351.7;514;84;1;0;1;1;1;1;0;1;1
3245500;7678500;165;9;86;-1571.8;509.0;369.3;611;208;1;1;1;1;1;1;0;1;1
3246500;7675500;108;0;52;-1532.8;607.2;340.6;475;85;1;0;1;1;1;1;0;1;1
3246500;7676500;137;1;59;-1541.4;585.4;347.3;506;125;1;0;1;1;1;1;0;1;1
3246500;7677500;170;5;57;-1550.0;563.4;354.0;537;99;1;0;1;1;1;1;0;1;1
3246500;7678500;154;13;88;-1598.9;473.6;375.1;662;338;1;1;1;1;1;1;1;1;1
3246500;7679500;94;2;44;-1683.2;352.0;402.1;841;262;1;0;1;1;1;1;1;1;1
3247500;7675500;122;3;48;-1539.2;612.1;338.2;465;81;1;0;1;1;1;1;0;1;1
3247500;7676500;141;1;52;-1546.5;592.3;344.4;492;69;1;0;1;1;1;1;0;1;1
3247500;7677500;177;7;71;-1566.3;551.6;355.1;550;137;1;0;1;1;1;1;0;1;1
3247500;7678500;168;14;63;-1670.1;390.4;390.4;780;334;1;1;1;1;1;1;1;1;1
3247500;7679500;63;3;28;-1725.4;313.5;408.0;900;163;1;0;1;0;0;1;1;1;1
3247500;7680500;106;2;25;-1693.1;339.4;405.0;855;190;1;0;1;0;1;1;1;1;1
3248500;7675500;104;1;41;-1553.2;610.8;337.3;461;70;1;0;1;1;1;1;0;1;1
3248500;7676500;164;6;65;-1561.3;588.8;344.0;490;84;1;0;1;1;1;1;0;1;1
3248500;7677500;169;6;73;-1588.3;530.7;358.2;571;199;1;1;1;1;1;1;0;1;1
3248500;7678500;129;5;34;-1651.4;406.2;385.6;752;229;1;0;1;1;1;1;1;1;1
3248500;7679500;96;4;25;-1662.5;377.7;393.3;795;251;1;0;1;1;1;1;1;1;1
3248500;7680500;145;4;25;-1621.1;422.0;386.4;729;226;1;0;1;1;1;1;1;1;1
3249500;7676500;180;21;84;-1588.7;566.4;347.6;514;211;1;1;1;1;1;1;0;1;1
3249500;7677500;173;12;41;-1621.1;488.4;365.8;620;169;1;1;1;1;1;1;0;1;1
3249500;7678500;133;2;26;-1587.3;508.1;362.6;606;227;1;0;1;1;1;1;1;1;1
3249500;7679500;141;2;25;-1571.2;515.3;362.7;602;200;1;0;1;1;1;1;0;1;1
3249500;7682500;148;1;25;-1561.3;525.1;367.4;587;168;1;0;1;1;1;1;0;1;1
3250500;7675500;119;1;56;-1607.3;595.5;338.5;468;69;1;0;1;1;1;1;0;1;1
3250500;7676500;193;18;84;-1647.3;484.9;363.3;618;258;1;1;1;1;1;1;0;1;1
3250500;7677500;159;10;44;-1617.7;500.7;361.5;604;188;1;1;1;1;1;1;0;1;1
3250500;7678500;131;2;27;-1545.5;585.3;344.4;503;100;1;0;1;1;1;1;0;1;1
3250500;7683500;108;1;25;-1556.7;518.0;369.5;589;110;1;0;1;1;0;1;0;1;1
3251500;7675500;113;4;51;-1621.2;597.1;336.6;464;49;1;0;1;1;1;1;0;1;1
3251500;7676500;246;32;83;-1617.3;539.2;350.1;542;281;1;1;1;1;1;1;1;1;1
3251500;7677500;240;22;62;-1570.4;578.2;343.0;505;208;1;1;1;1;1;1;1;1;1
3251500;7678500;136;2;30;-1538.0;596.5;340.1;489;66;1;0;1;1;1;1;0;1;1
3252500;7679500;140;4;25;-1562.7;543.5;351.4;563;110;1;0;1;1;1;1;0;1;1
3252500;7680500;109;2;25;-1571.1;529.6;356.7;577;99;1;0;1;0;1;1;0;1;1
3253500;7679500;144;9;25;-1657.3;408.2;378.2;757;323;1;1;1;1;1;1;0;1;1
3254500;7669500;178;5;12;-1665.8;561.7;327.4;518;137;1;0;1;1;1;1;0;1;1
3254500;7678500;101;2;25;-1708.3;355.6;385.2;826;151;1;0;1;0;1;1;0;1;1
3254500;7679500;117;8;25;-1750.0;312.2;395.9;901;163;1;1;1;1;1;1;1;1;1
3255500;7659500;140;1;0;-1652.3;620.9;294.7;470;151;1;0;0;1;1;1;0;1;1
3255500;7670500;139;3;21;-1649.1;573.4;324.8;501;138;1;0;1;1;1;1;0;1;1
3255500;7671500;121;0;20;-1628.8;594.3;321.9;479;78;1;0;1;1;1;1;0;1;1
3255500;7672500;155;3;21;-1638.1;568.3;329.1;517;107;1;0;1;1;1;1;0;1;1
3255500;7673500;161;12;44;-1668.7;503.0;344.7;605;192;1;1;1;1;1;1;0;1;1
3255500;7674500;195;25;90;-1775.7;360.2;374.9;811;378;1;1;1;1;1;1;1;1;1
3255500;7677500;91;2;25;-1722.0;373.1;378.1;803;147;1;0;1;0;1;1;1;1;1
3255500;7678500;110;4;25;-1698.0;366.8;381.3;811;117;1;0;1;0;1;1;1;1;1
3256500;7659500;135;3;0;-1714.8;520.9;314.7;601;249;1;0;1;1;1;1;0;1;1
3256500;7671500;121;1;21;-1633.5;561.2;326.4;535;129;1;0;1;1;1;1;0;1;1
3256500;7674500;135;2;53;-1673.5;459.8;353.2;673;60;1;0;1;0;1;1;0;1;1
3256500;7677500;115;2;31;-1790.9;311.3;388.8;904;123;1;0;1;0;1;1;1;1;1
3256500;7678500;68;1;44;-1711.9;360.2;380.9;819;289;1;0;1;0;1;1;1;1;1
3257500;7658500;104;1;0;-1658.7;614.7;291.2;482;143;1;0;1;1;1;1;0;1;1
3257500;7666500;124;2;0;-1659.6;608.5;306.5;470;71;1;0;1;1;1;1;0;1;1
3257500;7671500;110;1;3;-1645.4;522.2;332.4;592;152;1;0;1;1;1;1;0;1;1
3257500;7676500;95;1;71;-1788.6;315.5;384.4;901;175;1;0;1;0;1;1;0;1;1
3257500;7677500;87;3;74;-1741.7;363.3;376.7;821;311;1;0;1;0;1;1;1;1;1
3258500;7666500;117;1;0;-1662.9;585.5;309.2;510;172;1;0;1;1;1;1;0;1;1
3258500;7671500;105;1;0;-1650.2;508.8;333.3;612;151;1;0;1;1;1;1;0;1;1
3258500;7676500;136;12;40;-1709.6;402.6;365.1;760;296;1;1;1;1;1;1;1;1;1
3259500;7666500;123;1;0;-1686.3;525.5;319.7;596;187;1;0;1;1;1;1;0;1;1
3259500;7671500;105;1;0;-1650.7;504.4;332.4;621;54;1;0;1;1;1;1;0;1;1
3260500;7658500;93;1;21;-1738.9;482.9;314.9;658;154;1;0;1;1;1;1;0;1;1
3260500;7666500;119;1;0;-1689.5;507.1;321.5;628;184;1;0;1;1;1;1;0;1;1
3260500;7670500;99;1;0;-1668.6;473.5;335.4;667;183;1;0;1;1;1;1;0;1;1
3260500;7672500;73;1;0;-1679.6;452.4;343.8;694;159;1;0;1;0;1;1;0;1;1
3261500;7655500;115;2;11;-1663.6;638.7;276.4;448;42;1;0;1;1;1;1;0;1;1
3261500;7656500;130;2;18;-1664.8;627.7;279.9;461;88;1;0;1;1;1;1;0;1;1
3261500;7659500;121;1;24;-1698.4;543.3;301.9;577;104;1;0;1;1;1;1;0;1;1
3261500;7666500;102;1;0;-1736.0;445.3;333.5;717;303;1;1;1;0;1;1;0;1;1
3261500;7670500;99;1;0;-1667.6;481.9;332.0;656;85;1;0;1;1;1;1;0;1;1
3262500;7654500;129;3;23;-1692.7;633.8;275.2;455;58;1;0;1;1;1;1;0;1;1
3262500;7655500;121;1;25;-1666.4;634.5;275.9;455;44;1;0;1;1;1;1;0;1;1
3262500;7665500;98;1;0;-1744.9;438.4;332.1;715;122;1;0;1;1;1;1;0;1;1
3262500;7666500;134;5;0;-1782.7;393.8;343.1;791;258;1;0;1;1;1;1;1;1;1
3262500;7670500;94;1;0;-1676.3;478.5;331.3;659;54;1;0;1;0;1;1;0;1;1
3262500;7690500;103;2;25;-1638.7;355.3;396.2;813;70;1;0;1;0;1;1;0;1;1
3262500;7691500;105;2;25;-1658.0;324.7;404.4;861;174;1;0;1;1;1;1;0;1;1
3262500;7692500;62;1;25;-1732.0;253.6;420.7;978;176;1;0;1;0;0;1;1;1;1
3263500;7655500;90;2;25;-1676.2;616.9;278.2;477;84;1;0;1;0;1;1;0;1;1
3263500;7665500;100;1;0;-1740.0;455.5;327.0;690;108;1;0;1;1;1;1;0;1;1
3263500;7666500;100;1;0;-1797.1;381.3;344.5;806;219;1;0;1;0;1;1;0;1;1
3263500;7670500;94;1;0;-1678.6;480.9;329.2;656;67;1;0;1;0;1;1;0;1;1
3263500;7672500;121;2;0;-1710.2;425.3;345.0;729;153;1;0;1;1;1;1;0;1;1
3263500;7673500;69;1;0;-1726.4;407.0;350.9;750;148;1;0;1;0;0;1;0;1;1
3263500;7690500;116;2;25;-1654.2;340.0;397.5;838;126;1;0;1;0;1;1;0;1;1
3263500;7691500;127;3;25;-1623.4;358.0;396.0;806;95;1;0;1;0;1;1;0;1;1
3263500;7692500;143;5;25;-1660.1;320.2;405.7;868;242;1;1;1;1;1;1;1;1;1
3263500;7693500;87;1;25;-1754.7;229.1;426.0;1019;146;1;0;1;0;1;1;1;1;1
3264500;7650500;115;1;2;-1715.3;640.1;266.2;451;59;1;0;1;1;1;1;0;1;1
3264500;7656500;109;2;23;-1663.1;630.5;274.9;463;61;1;0;1;1;1;1;0;1;1
3264500;7657500;103;1;6;-1705.3;553.3;292.7;571;359;1;0;1;1;1;1;0;1;1
3264500;7658500;50;0;0;-1826.3;378.7;331.9;817;267;1;0;1;0;1;1;0;1;1
3264500;7664500;87;0;0;-1736.1;473.9;320.1;666;50;1;0;1;1;1;1;0;1;1
3264500;7670500;99;1;0;-1683.6;477.0;328.6;659;117;1;0;1;0;1;1;0;1;1
3264500;7675500;94;1;0;-1691.5;449.6;344.1;686;59;1;0;1;0;1;1;0;1;1
3264500;7689500;71;2;25;-1794.4;236.2;414.3;1014;153;1;0;1;0;1;1;1;0;1
3264500;7690500;140;8;25;-1710.2;290.2;405.6;917;238;1;0;1;0;1;1;1;1;1
3264500;7691500;135;11;25;-1654.5;332.5;399.3;849;171;1;1;1;1;1;1;1;1;1
3264500;7692500;205;22;25;-1654.9;326.7;402.6;861;322;1;1;1;1;1;1;1;1;1
