mesotopo;soil_moist;soil_temp;soil_ph;veg_height;vasc_spr;Empher_cover;Betnan;Cashyp;Empher;Salret
1;13.8;8.385157601;4.41;1;8;0;0;1;0;0
2;18.4;9.639724648;4.665;1;12;0.25;0;1;1;0
5;20.2;5.876031005;4.645;4;10;1;1;0;1;0
8;18.8;7.719171907;4.325;3;11;6;1;0;1;0
9;16.1;10.06625269;3.9825;1;6;3;1;0;1;0
6;15.2;8.51569656;4.69;3;9;3;0;0;1;0
1;12.3;10.17808013;4.01;1;9;0;0;1;0;0
2;12.3;6.129442049;4.5125;1;9;0;0;0;0;0
6;12.1;5.869535609;4.6725;1;9;2;0;0;1;0
8;15.6;7.813087524;4.6925;3;6;15;1;0;1;0
8;15.9;9.460639508;4.1225;3;7;5;1;0;1;0
5;18.2;8.406469227;4.55;3;11;2;1;0;1;0
2;11.3;6.971033472;4.08;1;12;0;1;0;0;0
4;15.1;5.826032396;4.4325;3;15;3;1;1;1;0
8;13.5;7.663082908;4.385;1;10;0;1;0;0;0
8;17.6;10.20705252;4.375;4;7;8;1;0;1;0
7;15.9;10.7550824;3.985;2;4;10;0;0;1;0
4;22.3;7.600146671;4.22;5;7;3;0;0;1;0
3;21.6;9.433740487;4.37;3;14;0;0;0;0;0
3;37.8;9.603049706;4.43;3;20;0;1;0;0;0
3;21.6;8.455852899;4.72;4;23;0;1;1;0;0
5;39.2;8.104431488;4.75;4;16;3;0;0;1;0
4;32;8.550147205;4.595;3;16;0;0;0;0;0
4;26.4;6.991245931;4.74;5;13;12;0;0;1;0
2;23.4;9.629229035;4.63;5;14;0;0;0;0;0
3;36.4;9.598056579;4.6225;1;19;2;0;0;1;0
3;45.4;9.350323125;4.53;6;17;5;1;1;1;0
5;37.7;7.895546143;4.635;5;22;2;0;1;1;0
6;32.3;7.440917104;4.56;3;19;4;1;0;1;0
4;33.1;7.785013879;4.56;6;13;0;0;0;0;0
3;20.1;9.026943477;4.75;11;15;0.5;0;0;1;0
4;24.1;10.19299635;4.8475;4;18;0;0;0;0;0
4;30;8.244743064;4.6175;1;18;0;0;1;0;0
5;27.5;8.992567779;4.8525;4;21;3;0;1;1;0
6;24.7;8.537832228;4.69;4;16;6;1;0;1;0
7;22.3;9.878782907;4.46;3;12;15;0;0;1;0
5;29.5;7.267785016;4.04;4;6;65;1;0;1;0
5;23.6;7.048819259;4.175;5;6;60;1;0;1;0
3;23.1;5.923644827;4.5425;9;14;50;1;0;1;0
3;22.1;6.197112551;4.755;9;12;10;1;0;1;0
5;27;6.472419453;4.565;7;10;75;1;0;1;0
6;26.1;6.646560837;4.76;5;10;55;1;0;1;0
5;28.7;6.36462052;4.69;6;9;65;1;0;1;0
4;18.8;6.445664232;4.6975;3;8;55;1;0;1;0
3;28;6.820510279;4.7;3;12;5;1;0;1;0
5;28.5;6.394009594;4.5125;6;12;75;1;0;1;0
4;24.9;6.269355483;4.8175;6;10;65;1;0;1;0
5;19.5;6.743548123;4.8;10;14;5;1;0;1;0
4;26.2;6.463038724;4.88;5;10;50;1;0;1;0
4;22.1;6.444087485;4.73;7;9;50;1;0;1;0
6;24.9;6.017378921;4.7175;6;10;85;1;0;1;0
5;29.6;6.292459749;4.71875;7;9;65;1;0;1;0
4;28;6.966297016;4.86125;4;13;30;1;0;1;0
3;22.3;8.040542105;5.04;12;18;2;1;0;1;0
5;30.1;6.488011757;4.95;8;19;65;1;0;1;0
3;41.1;6.202797174;5.3625;11;17;5;1;0;1;0
1;33.7;6.184214566;5.1775;4;29;0;0;1;0;0
3;19.7;7.167858952;4.8525;4;8;25;1;0;1;0
7;8.7;7.45401143;4.70875;4;6;8;1;0;1;0
4;13.1;6.747521175;4.45;6;4;15;1;0;1;0
2;36.5;6.777928147;5.08;9;25;10;1;1;1;0
2;43.2;7.387862167;5.32;2;36;0.25;1;1;1;0
2;32.8;7.569542561;5.25;2;24;0;0;1;0;0
4;18.4;7.453485086;4.69;4;20;4;1;0;1;0
10;8.5;7.339970839;4.8275;3;3;8;0;0;1;0
5;22.5;5.833832946;4.11;5;7;20;1;0;1;0
3;38.8;7.862836423;5.255;5;34;1;0;1;1;0
3;32.8;7.972958113;5.05625;5;25;0;0;0;0;0
